,date,종가,전일비,거래량
159,2020.01.02,"2,450",+40,"259,223"
158,2020.01.03,"2,445",-5,"343,469"
157,2020.01.06,"2,470",+25,"545,162"
156,2020.01.07,"2,405",-65,"275,180"
155,2020.01.08,"2,240",-165,"418,649"
154,2020.01.09,"2,380",+140,"523,142"
153,2020.01.10,"2,430",+50,"365,029"
152,2020.01.13,"2,405",-25,"290,401"
151,2020.01.14,"2,360",-45,"346,609"
150,2020.01.15,"2,345",-15,"204,350"
149,2020.01.16,"2,390",+45,"432,943"
148,2020.01.17,"2,430",+40,"250,366"
147,2020.01.20,"3,155",+725,"7,345,018"
146,2020.01.21,"3,735",+580,"12,035,398"
145,2020.01.22,"4,855","+1,120","11,907,037"
144,2020.01.23,"4,940",+85,"27,183,959"
143,2020.01.28,"6,400","+1,460","3,768,251"
142,2020.01.29,"5,350","-1,050","1,824,384"
141,2020.01.30,"5,950",+600,"3,268,916"
140,2020.01.31,"4,170","-1,780","2,382,778"
139,2020.02.03,"2,995","-1,175","3,102,289"
138,2020.02.04,"3,600",+605,"2,768,830"
137,2020.02.05,"3,425",-175,"14,702,576"
136,2020.02.06,"3,245",-180,"4,927,557"
135,2020.02.07,"3,315",+70,"10,598,311"
134,2020.02.10,"3,250",-65,"5,119,992"
133,2020.02.11,"3,180",-70,"3,074,254"
132,2020.02.12,"2,945",-235,"2,790,739"
131,2020.02.13,"2,845",-100,"5,351,717"
130,2020.02.14,"2,865",+20,"3,789,728"
129,2020.02.17,"2,880",+15,"1,279,973"
128,2020.02.18,"2,990",+110,"6,343,068"
127,2020.02.19,"3,605",+615,"20,097,186"
126,2020.02.20,"3,870",+265,"18,682,355"
125,2020.02.21,"4,885","+1,015","22,608,991"
124,2020.02.24,"5,400",+515,"22,486,279"
123,2020.02.25,"3,900","-1,500","11,089,249"
122,2020.02.26,"4,080",+180,"11,602,912"
121,2020.02.27,"3,880",-200,"6,835,086"
120,2020.02.28,"3,840",-40,"5,513,992"
119,2020.03.02,"3,695",-145,"2,664,752"
118,2020.03.03,"4,800","+1,105","29,434,212"
117,2020.03.04,"5,420",+620,"39,437,201"
116,2020.03.05,"5,500",+80,"36,015,807"
115,2020.03.06,"5,600",+100,"11,082,611"
114,2020.03.09,"6,140",+540,"12,866,835"
113,2020.03.10,"5,790",-350,"13,226,352"
112,2020.03.11,"5,450",-340,"6,867,110"
111,2020.03.12,"5,920",+470,"21,318,916"
110,2020.03.13,"5,740",-180,"16,272,346"
109,2020.03.16,"6,400",+660,"17,867,580"
108,2020.03.17,"6,000",-400,"10,915,536"
107,2020.03.18,"7,550","+1,550","54,454,962"
106,2020.03.19,"6,790",-760,"15,978,037"
105,2020.03.20,"7,030",+240,"16,245,376"
104,2020.03.23,"7,160",+130,"7,259,642"
103,2020.03.24,"7,010",-150,"7,284,434"
102,2020.03.25,"7,250",+240,"10,327,470"
101,2020.03.26,"7,900",+650,"27,326,176"
100,2020.03.27,"7,640",-260,"24,511,072"
99,2020.03.30,"9,930","+2,290","18,230,049"
98,2020.03.31,"12,900","+2,970","20,333,308"
97,2020.04.01,"13,200",+300,"28,712,580"
96,2020.04.02,"10,300","-2,900","14,808,185"
95,2020.04.03,"11,350","+1,050","18,918,834"
94,2020.04.06,"11,650",+300,"8,779,158"
93,2020.04.07,"15,100","+3,450","8,952,190"
92,2020.04.08,"14,400",-700,"24,474,679"
91,2020.04.09,"14,500",+100,"7,846,676"
90,2020.04.10,"13,900",-600,"8,524,684"
89,2020.04.13,"13,150",-750,"4,466,908"
88,2020.04.14,"14,000",+850,"28,042,076"
87,2020.04.16,"14,100",+100,"20,594,944"
86,2020.04.17,"14,100",0,"8,586,354"
85,2020.04.20,"14,300",+200,"6,990,001"
84,2020.04.21,"13,800",-500,"6,411,372"
83,2020.04.22,"13,850",+50,"7,595,488"
82,2020.04.23,"13,900",+50,"3,868,364"
81,2020.04.24,"13,400",-500,"3,686,063"
80,2020.04.27,"13,200",-200,"2,305,678"
79,2020.04.28,"11,800","-1,400","6,370,696"
78,2020.04.29,"9,300","-2,500","14,974,849"
77,2020.05.04,"10,150",+850,"15,161,376"
76,2020.05.06,"9,880",-270,"6,578,680"
75,2020.05.07,"9,960",+80,"2,972,161"
74,2020.05.08,"9,960",0,"1,993,182"
73,2020.05.11,"9,940",-20,"1,842,776"
72,2020.05.12,"10,300",+360,"5,293,805"
71,2020.05.13,"10,000",-300,"1,636,847"
70,2020.05.14,"10,600",+600,"7,120,229"
69,2020.05.15,"10,300",-300,"2,428,675"
68,2020.05.18,"10,450",+150,"3,057,690"
67,2020.05.19,"9,990",-460,"4,112,599"
66,2020.05.20,"9,930",+800,"3,912,685"
65,2020.05.21,"10,400",+470,"4,447,142"
64,2020.05.22,"10,200",-200,"1,823,374"
63,2020.05.25,"10,300",+100,"1,382,181"
62,2020.05.26,"10,200",-100,"1,363,339"
61,2020.05.27,"9,990",-210,"1,194,506"
60,2020.05.28,"9,900",-90,"1,425,443"
59,2020.05.29,"10,600",+700,"3,049,059"
58,2020.06.01,"10,300",-300,"1,324,532"
57,2020.06.02,"10,000",-300,"928,040"
56,2020.06.03,"10,150",+150,"6,517,399"
55,2020.06.04,"9,910",-240,"2,521,481"
54,2020.06.05,"9,760",-150,"3,442,461"
53,2020.06.08,"9,600",-160,"4,244,688"
52,2020.06.09,"9,790",+190,"3,642,755"
51,2020.06.10,"9,700",-90,"1,685,240"
50,2020.06.11,"11,200","+1,500","24,737,039"
49,2020.06.12,"10,700",-500,"6,997,024"
48,2020.06.15,"9,700","-1,000","3,836,511"
47,2020.06.16,"10,100",+400,"2,664,906"
46,2020.06.17,"9,980",-120,"2,482,030"
45,2020.06.18,"9,670",-310,"2,189,917"
44,2020.06.19,"9,640",-30,"1,872,482"
43,2020.06.22,"9,680",+40,"1,191,383"
42,2020.06.23,"8,940",-740,"2,607,159"
41,2020.06.24,"9,090",+150,"8,200,444"
40,2020.06.25,"9,200",+110,"1,651,630"
39,2020.06.26,"9,500",+300,"9,917,008"
38,2020.06.29,"9,630",+130,"3,853,129"
37,2020.06.30,"9,690",+60,"1,762,129"
36,2020.07.01,"9,370",-320,"2,117,874"
35,2020.07.02,"9,320",-50,"1,684,840"
34,2020.07.03,"9,330",+10,"2,172,470"
33,2020.07.06,"9,270",-60,"781,930"
32,2020.07.07,"9,120",-150,"920,605"
31,2020.07.08,"9,060",-60,"681,108"
30,2020.07.09,"8,920",-140,"939,025"
29,2020.07.10,"8,710",-210,"1,317,829"
28,2020.07.13,"8,520",-190,"1,401,105"
27,2020.07.14,"8,590",+70,"2,693,521"
26,2020.07.15,"9,330",+740,"14,069,991"
25,2020.07.16,"8,700",-630,"3,147,368"
24,2020.07.17,"8,740",+40,"2,693,397"
23,2020.07.20,"8,850",+110,"1,937,256"
22,2020.07.21,"8,920",+70,"2,294,585"
21,2020.07.22,"8,950",+30,"1,892,223"
20,2020.07.23,"9,180",+230,"8,260,223"
19,2020.07.24,"9,280",+100,"4,686,009"
18,2020.07.27,"9,450",+170,"7,873,013"
17,2020.07.28,"9,230",-220,"2,383,565"
16,2020.07.29,"9,010",-220,"1,502,724"
15,2020.07.30,"9,000",-10,"1,904,739"
14,2020.07.31,"9,000",0,"1,621,582"
13,2020.08.03,"8,850",-150,"1,475,686"
12,2020.08.04,"9,420",+570,"6,890,339"
11,2020.08.05,"9,330",-90,"2,324,813"
10,2020.08.06,"9,280",-50,"2,324,828"
9,2020.08.07,"9,080",-200,"1,758,393"
8,2020.08.10,"9,000",-80,"1,363,562"
7,2020.08.11,"8,930",-70,"1,323,529"
6,2020.08.12,"8,430",-500,"2,405,034"
5,2020.08.13,"9,080",+650,"3,539,854"
4,2020.08.14,"10,000",+920,"22,911,176"
3,2020.08.18,"9,400",-600,"4,819,645"
2,2020.08.19,"9,820",+420,"4,018,208"
1,2020.08.20,"12,750","+2,930","41,830,498"
0,2020.08.21,"15,150","+2,400","52,275,542"
